id,miembros,dia_0,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,dia_7
695,4,8,68,63,14,81,55,53,31
696,4,46,11,69,96,67,89,53,66
697,4,85,66,59,9,68,18,73,31
698,3,10,68,53,52,32,18,15,27
699,3,35,31,41,11,99,19,80,55
700,7,14,10,54,33,56,89,80,12
701,3,8,74,70,67,53,1,19,4
702,4,7,89,4,76,24,13,3,38
703,3,66,56,31,25,81,89,2,45
704,4,60,1,12,17,45,47,81,77
705,4,14,87,10,12,75,1,20,55
706,3,95,24,18,68,60,38,11,39
707,2,18,16,99,48,87,46,69,11
708,7,46,17,74,6,1,23,24,25
709,4,39,98,26,54,38,33,87,86
710,2,39,32,4,86,98,26,95,9
711,7,14,60,4,25,54,33,79,1
712,4,1,36,21,7,60,42,24,14
713,5,25,66,53,84,28,32,16,31
714,3,10,38,66,60,55,24,52,96
715,7,33,58,49,88,96,67,95,40
716,6,49,68,96,1,32,18,23,81
717,7,66,17,7,58,24,46,39,47
718,5,31,3,25,88,24,10,30,1
719,7,1,32,73,89,36,76,8,81
720,4,53,8,60,84,22,75,39,10
721,2,45,24,34,36,35,52,3,10
722,3,19,47,1,59,49,28,88,87
723,5,92,14,47,75,4,24,95,66
724,5,81,95,57,31,6,59,60,16
725,5,69,1,9,11,17,88,45,33
726,2,18,49,38,16,14,75,3,82
727,3,3,42,98,43,1,53,58,52
728,7,10,6,94,76,80,95,68,40
729,6,32,5,94,15,1,53,24,26
730,2,17,1,40,20,11,89,18,50
731,3,68,80,1,73,25,17,37,47
732,4,10,92,31,12,81,87,24,53
733,4,1,50,60,48,26,45,74,29
734,5,8,56,38,73,26,53,51,75
735,4,17,74,67,22,21,25,4,88
736,4,80,79,92,26,20,40,83,61
737,5,12,68,87,3,28,46,81,86
738,6,87,50,86,5,74,97,46,25
739,2,65,54,68,48,25,45,27,88
740,3,1,61,31,3,24,19,45,4
741,3,81,14,45,46,68,27,47,50
742,4,99,37,1,81,15,80,60,73
743,2,11,65,40,24,45,88,4,32
744,2,41,54,32,28,16,19,4,22
745,5,25,1,3,8,87,91,50,18
746,2,60,46,6,32,68,66,88,47
747,2,25,39,26,36,11,19,75,3
748,4,46,80,44,3,19,29,75,94
749,2,65,5,8,19,48,38,10,73
750,4,96,39,1,55,44,56,31,53
751,8,54,18,95,82,60,10,71,22
752,5,4,26,36,66,96,47,31,33
753,3,30,90,60,21,31,67,42,16
754,6,36,4,33,1,43,38,41,96
755,7,12,54,3,73,46,39,4,1
756,3,4,61,25,46,68,52,75,47
757,2,73,26,68,13,24,25,35,10
758,7,22,19,40,1,45,18,59,33
759,3,97,10,5,71,4,88,25,1
760,5,23,1,22,75,18,3,81,54
761,3,48,67,82,38,71,19,12,53
762,4,87,94,18,76,34,3,26,74
763,2,17,47,1,79,40,7,94,8
764,6,4,46,11,1,24,33,49,39
765,4,32,89,67,18,56,49,1,6
766,3,16,54,81,23,96,5,18,47
767,3,82,75,26,19,94,18,57,73
768,5,87,92,95,46,60,1,54,40
769,4,94,44,66,31,1,10,8,57
770,2,25,28,66,7,20,93,1,74
771,5,45,91,9,55,81,1,40,36
772,4,12,59,53,96,39,52,61,17
773,2,2,40,47,68,96,15,5,61
774,4,26,6,88,59,1,11,54,12
775,2,99,73,10,70,96,39,1,45
776,4,1,74,84,54,39,70,41,95
777,2,46,1,94,26,58,28,33,38
778,4,3,18,17,32,53,34,19,25
779,4,67,7,38,53,40,45,73,17
780,4,77,96,60,17,9,32,28,12
781,4,9,42,38,19,74,50,39,53
782,2,67,50,6,15,40,74,38,32
783,2,52,1,96,3,27,45,13,88
784,3,75,1,80,11,15,25,21,63
785,8,73,56,19,38,11,60,68,24
786,3,96,33,14,31,20,46,88,53
787,7,6,81,87,85,33,17,45,1
788,4,19,15,95,43,58,25,38,7
789,5,1,52,31,66,17,24,80,82
790,4,59,52,22,33,87,94,89,1
791,3,5,3,17,30,59,10,26,22
792,2,88,75,1,95,47,64,10,11
793,6,100,26,12,1,5,11,10,82
794,3,32,17,8,19,80,1,39,89
795,4,1,30,13,9,6,43,76,38
796,4,81,4,49,5,21,56,87,54
797,2,1,3,77,34,95,74,4,5
798,5,45,35,25,20,3,4,5,74
799,8,3,68,9,23,28,24,52,18
800,5,57,25,54,10,33,47,4,26
801,4,17,5,87,4,1,81,32,29
802,4,1,3,13,66,40,19,16,82
803,4,19,24,2,60,8,53,25,89
804,5,57,52,12,15,82,58,68,5
805,4,1,11,38,66,26,49,12,73
806,8,49,25,75,53,48,82,23,1
807,4,31,72,40,4,17,47,58,39
808,3,52,40,5,1,90,12,96,29
809,2,2,89,1,12,42,41,67,6
810,3,69,46,1,3,25,13,66,22
811,3,75,94,14,52,1,53,5,37
812,5,95,68,40,18,25,94,43,1
813,4,53,17,78,13,29,19,73,1
814,4,27,59,47,80,26,32,73,100
815,2,1,88,11,32,3,10,73,18
816,4,54,14,22,52,1,94,87,13
817,4,53,74,89,4,7,87,24,71
818,5,4,1,47,56,10,38,36,32
819,8,32,38,61,68,37,23,60,33
820,2,33,90,54,9,71,89,96,59
821,6,36,18,45,46,39,26,53,43
822,7,34,31,68,82,24,4,33,89
823,3,35,39,2,68,97,95,24,10
824,8,60,8,61,25,16,49,89,57
825,5,89,29,52,39,1,25,28,11
826,3,28,32,1,95,19,40,89,3
827,4,5,71,82,12,60,87,59,80
828,4,80,73,88,67,17,66,89,46
829,3,70,15,26,33,61,47,32,24
830,4,36,12,61,53,51,5,26,45
831,6,8,28,54,12,48,32,46,45
832,3,41,96,9,88,1,89,10,26
833,2,1,46,25,19,82,47,54,20
834,3,56,5,87,23,3,47,12,74
835,3,17,8,1,47,33,66,39,59
836,5,31,1,13,5,39,30,67,6
837,5,87,73,1,45,3,60,37,53
838,5,94,68,24,59,3,26,47,6
839,4,12,66,29,68,1,75,60,96
840,5,24,25,61,3,16,26,5,1
841,5,10,92,39,6,66,40,57,4
842,3,69,1,82,58,45,36,24,51
843,5,88,14,60,82,90,71,12,8
844,4,81,69,40,60,50,95,31,54
845,5,5,10,60,96,39,1,73,53
846,7,47,76,40,59,100,15,31,35
847,7,95,1,68,74,9,19,61,91
848,4,39,42,41,82,1,74,33,87
849,5,50,5,12,45,34,28,40,39
850,2,19,95,57,53,68,4,38,51
851,3,13,1,75,25,47,89,34,87
852,4,31,82,23,89,5,94,66,34
853,4,55,34,73,65,31,1,64,94
854,2,14,25,66,35,60,47,24,11
855,4,51,60,6,87,94,75,29,1
856,4,12,70,13,1,60,5,78,66
857,6,11,95,28,26,24,8,36,59
858,2,1,60,19,75,74,18,6,31
859,5,24,9,40,25,3,36,55,83
860,6,55,27,67,75,17,5,54,11
861,5,57,81,44,19,94,48,46,6
862,2,1,59,12,85,51,29,74,3
863,6,82,1,73,53,39,44,51,2
864,2,4,9,91,17,20,31,12,6
865,5,19,1,8,24,42,31,60,33
866,4,24,38,68,48,87,55,81,45
867,4,3,67,1,68,61,45,31,40
868,6,33,52,11,81,17,45,73,10
869,3,11,45,15,52,54,80,59,53
870,8,53,57,40,14,27,32,22,12
871,6,94,89,16,100,33,7,11,21
872,4,11,81,54,75,18,46,20,49
873,8,5,1,2,54,32,15,41,74
874,8,23,60,48,4,1,12,18,89
875,4,82,96,5,22,3,80,10,72
876,5,5,97,13,2,1,59,33,21
877,5,49,63,11,3,19,25,47,38
878,8,4,40,11,47,38,88,1,75
879,3,65,73,67,1,5,52,12,90
880,5,53,40,94,59,75,81,11,23
881,2,41,20,30,12,32,31,11,52
882,3,47,77,67,96,74,36,5,39
883,4,1,82,74,17,10,5,95,33
884,4,33,1,12,42,18,17,56,24
885,3,6,33,4,1,8,25,26,75
886,3,81,12,75,89,25,14,4,19
887,2,83,87,88,39,23,8,1,3
888,3,25,30,1,16,42,39,31,40
889,3,99,60,51,18,29,74,32,100
890,6,65,4,19,54,46,96,80,26
891,4,1,95,18,52,32,10,96,79
892,4,1,17,12,31,62,89,61,3
893,6,63,33,1,10,39,52,80,88
894,2,78,10,23,11,57,5,73,24
895,5,11,33,44,12,56,84,1,17
896,8,29,11,34,14,4,53,1,72
897,4,1,67,52,13,84,30,24,74
898,4,26,1,25,73,40,96,80,53
899,4,81,67,11,82,12,6,26,89
900,2,73,67,14,20,19,45,38,34
901,5,7,5,25,88,39,1,47,52
902,3,33,47,27,19,74,99,1,15
903,6,19,66,16,73,31,33,81,17
904,4,24,47,46,82,45,89,98,40
905,2,5,41,81,89,80,12,88,94
906,3,73,94,68,4,40,26,10,27
907,5,34,19,52,10,2,40,88,5
908,4,95,90,63,11,3,1,34,96
909,4,52,36,16,31,33,19,74,3
910,3,46,57,50,47,5,19,81,52
911,5,10,18,32,54,38,1,96,25
912,6,68,74,87,67,1,91,46,66
913,5,1,59,45,3,18,23,89,5
914,6,94,1,60,75,15,54,97,73
915,4,1,55,33,68,90,87,44,21
916,7,81,1,66,33,5,80,94,75
917,4,60,31,4,46,8,14,61,21
918,4,1,11,26,51,82,43,37,54
919,3,68,99,36,16,39,1,82,25
920,3,26,35,5,20,78,33,82,11
921,2,31,1,20,54,32,94,82,57
922,4,95,6,26,1,89,40,3,100
923,6,96,51,17,67,1,35,61,21
924,3,43,67,89,48,1,4,87,10
925,3,71,74,26,59,47,77,54,64
926,6,33,18,53,73,59,41,60,11
927,4,1,74,59,54,73,32,57,95
928,3,40,86,3,68,26,5,72,36
929,3,18,69,64,38,15,1,60,53
930,4,2,22,95,46,1,32,66,78
931,2,35,5,40,96,10,45,4,87
932,2,12,4,11,95,80,94,28,1
933,6,1,73,26,10,84,27,24,21
934,2,38,68,80,3,43,13,88,67
935,3,26,8,88,16,67,1,87,94
936,3,31,59,5,63,71,70,96,39
937,4,27,3,22,57,40,1,80,26
938,6,46,88,10,53,83,92,12,11
939,8,45,37,1,3,38,46,60,40
940,5,31,74,73,47,87,4,12,46
941,4,23,90,15,77,76,80,6,54
942,3,57,25,61,6,82,52,5,72
943,6,82,38,87,26,61,3,17,39
944,4,87,18,25,46,38,17,26,19
945,7,74,22,95,1,55,42,3,4
946,5,54,3,72,14,4,68,1,2
947,6,28,80,95,88,75,25,12,38
948,6,38,53,84,11,1,51,18,26
949,5,1,86,75,82,6,46,17,87
950,6,20,52,27,79,46,47,15,8
951,3,88,8,45,3,1,31,46,18
952,6,54,11,39,13,18,30,87,49
953,3,46,74,26,54,32,9,68,14
954,5,80,1,55,10,6,94,78,31
955,4,63,89,73,12,21,49,59,33
956,5,66,16,10,24,38,74,52,1
957,4,16,35,24,42,17,22,53,50
958,8,24,54,39,61,10,48,96,68
959,5,42,87,61,88,44,1,80,75
960,4,50,13,66,41,58,5,1,46
961,6,53,58,88,90,25,11,52,12
962,5,44,5,38,66,47,51,59,46
963,2,33,47,30,82,40,25,13,74
964,2,1,75,17,73,52,5,24,18
965,5,61,45,82,83,10,94,25,39
966,5,59,60,6,47,17,1,24,8
967,5,40,80,88,63,23,96,3,95
968,5,2,19,68,7,46,59,81,52
969,4,1,75,86,15,3,5,93,95
970,3,97,24,34,4,96,1,80,68
971,6,5,13,3,17,30,38,46,15
972,5,90,18,17,33,12,31,25,46
973,2,82,25,60,87,22,17,19,3
974,4,44,24,60,1,17,75,31,46
975,3,1,61,59,82,22,40,25,23
976,4,18,81,41,89,95,4,45,52
977,3,54,7,61,73,25,10,65,4
978,4,59,25,10,68,87,1,81,49
979,4,4,1,19,10,94,8,31,61
980,4,38,18,47,75,17,48,31,94
981,5,12,24,75,1,33,60,46,68
982,3,1,14,17,82,19,12,32,24
983,2,96,4,5,94,1,95,50,21
984,5,2,66,40,94,10,81,84,8
985,3,44,67,27,93,71,1,12,17
986,7,82,76,39,78,1,53,4,40
987,4,87,41,57,22,75,12,38,32
988,2,11,86,53,40,26,73,4,49
989,2,1,62,97,95,19,24,32,7
990,5,50,29,26,31,71,22,5,59
991,5,75,20,23,82,69,1,68,17
992,5,54,67,28,32,13,41,11,31
993,5,46,18,24,61,38,41,11,7
994,3,39,25,4,17,74,38,41,63
995,4,35,59,37,19,24,11,17,8
996,5,57,15,37,32,53,35,54,40
997,2,50,89,60,26,95,10,52,4
998,2,3,31,66,18,14,42,17,20
999,4,80,52,82,87,88,1,12,47
1000,6,25,30,23,12,1,18,6,19
1001,5,25,12,20,9,67,38,96,87
1002,3,46,5,56,21,70,54,23,38
1003,3,29,59,81,13,11,1,54,91
1004,2,45,1,87,60,17,6,28,18
1005,5,31,75,45,3,10,5,68,52
1006,6,95,96,74,88,1,67,12,56
1007,2,1,12,11,69,13,10,47,19
1008,4,73,39,1,45,5,79,43,49
1009,2,75,42,26,98,37,30,10,85
1010,4,46,19,45,95,14,24,30,39
1011,3,24,1,50,38,87,27,33,29
1012,7,67,46,35,1,39,77,40,62
1013,3,11,24,38,4,7,81,10,3
1014,4,52,59,30,12,3,92,66,1
1015,4,1,17,9,53,3,94,34,19
1016,5,17,9,16,24,50,68,14,94
1017,4,5,73,29,40,6,49,66,96
1018,4,16,66,53,40,52,25,29,54
1019,3,75,18,1,3,90,95,81,48
1020,5,60,54,28,67,46,29,59,52
1021,3,75,5,4,11,94,37,82,53
1022,6,73,45,38,75,100,19,46,81
1023,3,60,52,74,5,46,68,40,78
1024,4,24,1,54,18,44,11,7,87
1025,6,71,10,46,18,12,5,47,27
1026,2,18,16,49,53,39,40,82,29
1027,3,54,39,95,74,70,81,24,22
1028,4,13,45,1,21,88,73,89,87
1029,5,41,12,32,40,61,3,67,89
1030,4,59,83,66,46,13,50,12,14
1031,5,94,30,52,9,17,26,3,32
1032,3,5,73,82,67,33,39,1,31
1033,3,52,1,46,32,88,82,39,5
1034,6,17,58,73,1,81,67,26,11
1035,4,40,1,2,18,17,14,12,42
1036,5,25,7,94,34,4,36,5,1
1037,2,66,45,53,23,88,82,67,86
1038,4,94,40,29,58,12,9,35,18
1039,4,66,88,11,47,33,73,25,22
1040,4,23,4,59,2,33,12,91,73
1041,4,96,94,5,95,89,11,13,80
1042,6,15,24,81,89,39,19,18,35
1043,4,16,1,23,21,61,19,25,80
1044,5,68,35,61,47,11,32,19,96
1045,4,73,20,53,39,60,96,59,87
1046,2,54,13,39,11,40,94,63,50
1047,4,15,9,1,18,87,19,27,31
1048,3,17,72,74,34,19,2,26,43
1049,3,31,3,25,67,14,55,19,7
1050,4,81,74,78,80,10,59,90,32
1051,4,59,3,61,12,41,14,17,96
1052,5,1,33,9,10,7,67,53,74
1053,4,33,95,84,28,73,1,36,25
1054,4,31,9,87,60,65,98,86,55
1055,3,81,46,15,2,19,17,62,10
1056,3,27,10,55,87,13,64,33,62
1057,5,17,72,56,71,68,34,42,25
1058,4,40,79,10,45,19,89,98,100
1059,2,1,40,75,38,14,68,60,11
1060,5,23,66,82,39,16,1,67,90
1061,4,65,2,94,21,25,3,5,68
1062,5,24,99,39,75,1,55,25,36
1063,2,25,1,87,56,82,98,70,52
1064,5,75,11,68,23,60,61,1,95
1065,3,1,88,68,77,59,19,36,24
1066,2,2,54,17,59,95,94,31,10
1067,5,75,52,59,39,3,70,58,24
1068,5,3,31,5,11,33,25,80,89
1069,4,25,31,98,21,6,12,8,80
1070,6,49,61,94,51,32,43,11,14
1071,4,94,66,88,75,25,20,43,77
1072,5,59,32,88,9,82,26,87,78
1073,4,32,31,81,29,20,75,52,1
1074,7,54,11,86,95,94,73,38,89
1075,4,1,52,8,67,38,18,2,79
1076,4,26,27,52,25,75,81,66,32
1077,4,14,24,88,7,12,46,8,21
1078,6,54,59,19,28,32,50,42,34
1079,2,59,61,95,1,18,53,80,100
1080,3,18,61,11,95,58,13,72,56
1081,8,25,68,13,10,20,33,15,73
1082,3,1,80,33,76,53,85,45,73
1083,2,96,47,50,60,57,54,46,15
1084,6,89,60,62,21,74,33,20,39
1085,2,31,75,24,68,21,40,12,6
1086,5,20,1,59,37,46,98,74,73
1087,5,22,40,1,88,32,31,53,59
1088,5,88,21,19,62,29,92,65,73
1089,3,60,46,81,57,42,87,11,1
1090,7,91,60,26,1,48,98,70,96
1091,4,56,10,15,67,82,66,3,73
1092,5,33,11,59,1,88,26,46,62
1093,4,67,52,48,80,82,1,60,40
1094,6,19,38,1,53,90,62,4,54
1095,7,19,17,1,46,20,36,73,27
1096,4,26,1,14,20,7,96,18,11
1097,7,55,54,5,58,17,1,25,59
1098,2,16,51,40,15,100,32,60,59
1099,8,59,5,60,81,1,34,54,52
1100,4,67,47,4,18,24,13,5,33
1101,2,68,75,32,46,1,26,43,17
1102,3,12,89,4,62,5,81,53,38
1103,4,74,28,1,15,30,17,24,62
1104,5,3,10,25,22,31,52,81,5
1105,4,45,33,2,20,59,18,47,28
1106,4,3,8,62,93,22,94,58,26
1107,4,75,10,61,11,42,55,51,47
1108,6,25,4,47,89,53,19,75,45
1109,6,5,47,22,81,1,17,95,18
1110,8,1,12,39,46,90,7,48,82
1111,2,100,49,14,12,74,46,76,41
1112,5,67,39,8,13,17,41,33,9
1113,5,18,62,10,1,11,31,38,17
1114,4,11,7,38,40,26,35,52,58
1115,5,31,96,7,15,74,52,97,1
1116,4,74,26,68,54,91,61,52,23
1117,4,1,7,16,10,34,3,36,15
1118,4,73,39,74,54,19,82,35,17
1119,4,34,14,61,10,73,68,11,54
1120,8,33,39,15,37,68,52,88,67
1121,2,94,97,87,39,25,64,40,26
1122,6,64,45,25,48,13,19,54,87
1123,4,26,40,61,51,12,36,7,56
1124,3,96,33,40,17,53,54,32,84
1125,2,26,39,23,67,24,89,18,87
1126,4,21,52,1,80,31,5,75,82
1127,2,68,16,71,95,18,88,25,39
1128,4,14,95,4,16,26,81,76,97
1129,4,1,32,80,19,96,79,28,22
1130,3,12,33,24,47,20,1,17,77
1131,7,24,73,12,66,95,2,38,6
1132,3,46,28,74,10,32,45,33,1
1133,2,3,89,52,45,1,18,14,41
1134,2,59,32,3,87,31,52,67,26
1135,5,67,17,100,44,54,33,46,45
1136,7,32,4,45,11,17,97,5,8
1137,8,3,80,95,42,52,76,10,67
1138,3,10,1,74,94,16,45,17,52
1139,6,42,73,68,74,50,90,19,20
1140,4,52,1,11,36,4,38,14,94
1141,5,87,9,25,2,18,71,95,54
1142,4,3,40,68,88,1,95,28,32
1143,4,87,10,60,59,17,4,12,94
1144,4,3,5,61,15,23,68,10,24
1145,5,53,18,55,96,43,32,29,75
1146,6,81,27,29,38,10,25,60,77
1147,6,47,62,4,18,55,10,68,1
1148,2,26,41,35,53,19,54,65,73
1149,3,59,12,74,3,31,17,1,94
1150,4,23,53,2,19,1,3,38,97
1151,2,25,45,14,48,73,1,90,12
1152,6,19,1,76,29,64,45,12,18
1153,5,17,75,66,77,38,11,10,31
1154,6,88,99,1,56,31,55,73,32
1155,2,75,48,1,95,2,52,32,10
1156,2,96,73,8,1,26,14,11,95
1157,3,15,49,1,40,94,31,29,4
1158,8,39,59,1,92,13,31,11,4
1159,4,17,12,26,95,66,34,80,19
1160,2,96,31,52,76,1,15,7,80
1161,5,60,67,33,4,81,23,59,89
1162,5,17,65,28,94,90,40,95,1
1163,5,18,1,52,53,61,99,41,31
1164,5,46,44,18,32,1,54,2,38
1165,3,79,94,32,5,50,1,26,75
1166,5,36,57,82,49,28,1,46,31
1167,5,61,1,25,83,17,3,32,16
1168,5,17,1,66,74,54,52,88,12
1169,4,1,25,47,32,40,4,80,7
1170,3,16,10,30,45,31,57,37,86
1171,6,80,1,55,32,54,57,24,78
1172,5,2,66,75,17,1,68,3,28
1173,5,88,1,55,37,67,16,19,83
1174,4,40,45,10,94,82,12,24,25
1175,5,60,34,10,4,26,3,94,81
1176,8,54,26,1,12,100,66,16,33
1177,2,52,89,13,80,51,61,84,1
1178,4,32,40,10,66,38,74,2,1
1179,3,69,67,47,14,96,10,82,26
1180,4,11,75,95,5,66,94,96,12
1181,5,56,47,75,24,1,20,87,68
1182,3,11,16,18,89,80,1,47,10
1183,3,66,3,82,40,49,51,90,24
1184,3,82,1,95,40,92,96,93,47
1185,4,52,89,33,47,1,60,96,8
1186,7,2,82,67,33,74,19,10,52
1187,4,75,39,11,13,28,19,32,69
1188,6,4,17,82,5,51,80,73,33
1189,8,94,89,32,54,14,33,66,74
1190,7,4,49,26,52,11,59,97,54
1191,5,75,5,43,25,74,19,1,39
1192,8,7,91,71,38,33,31,1,60
1193,4,4,11,48,76,45,1,27,24
1194,5,47,95,24,44,48,87,81,4
1195,2,43,84,88,1,35,66,52,96
1196,4,67,27,25,12,95,34,28,1
1197,4,5,45,25,66,24,40,1,21
1198,3,50,1,81,80,53,11,52,25
1199,4,16,19,8,1,26,52,51,74
1200,4,16,74,47,67,25,75,59,20
1201,6,11,75,96,26,68,33,45,4
1202,3,53,34,82,17,3,12,65,75
1203,3,87,1,100,67,45,59,17,19
1204,5,25,56,5,45,95,14,33,1
1205,4,9,11,31,93,86,73,33,80
1206,3,33,42,31,37,45,21,14,10
1207,2,26,7,25,4,38,45,1,51
1208,2,43,60,53,59,38,96,81,39
1209,7,74,6,22,69,1,30,89,88
1210,5,1,53,52,25,13,100,38,16
1211,2,49,96,24,19,55,3,66,53
1212,6,88,11,59,21,40,12,81,60
1213,3,50,83,67,21,74,40,19,52
1214,3,3,100,1,95,19,68,28,47
1215,3,94,12,89,80,4,11,5,50
1216,4,68,34,41,53,23,13,58,89
1217,4,41,75,24,38,40,58,1,29
1218,4,1,11,19,62,45,14,5,64
1219,4,39,26,24,2,66,78,87,18
1220,3,54,80,60,53,84,74,81,1
1221,5,1,80,77,53,42,12,61,10
1222,3,5,28,81,76,31,26,24,70
1223,6,58,82,88,42,45,36,47,28
1224,4,8,89,45,71,81,39,54,18
1225,4,25,19,31,46,75,1,3,17
1226,3,10,1,12,81,5,87,22,33
1227,5,18,19,22,39,25,32,1,75
1228,5,19,29,45,4,85,1,44,52
1229,4,21,27,58,26,96,33,5,22
1230,4,40,52,73,68,38,39,53,51
1231,5,87,89,82,20,11,59,24,48
1232,4,67,68,33,12,1,17,6,95
1233,2,45,71,89,1,67,96,84,32
1234,3,52,19,73,88,26,51,1,96
1235,6,45,1,32,64,96,75,86,57
1236,5,82,31,81,32,17,75,33,48
1237,3,43,40,29,4,1,32,22,81
1238,2,96,10,95,16,50,45,87,8
1239,3,50,12,61,4,2,26,75,11
1240,2,33,13,89,6,61,10,47,71
1241,4,60,40,46,54,39,87,19,18
1242,4,1,14,96,28,57,22,18,67
1243,3,58,1,44,81,17,88,38,12
1244,6,94,4,52,75,46,26,44,72
1245,4,10,1,5,88,80,46,39,12
1246,2,2,13,87,39,17,38,9,68
1247,2,81,8,3,74,75,61,79,52
1248,4,39,17,5,59,66,32,1,25
1249,7,39,65,17,27,10,1,67,44
1250,4,38,13,11,1,16,21,4,67
1251,4,29,28,20,75,24,26,18,17
1252,3,4,29,24,25,1,11,40,16
1253,2,72,10,24,38,7,94,3,54
1254,2,1,37,11,5,84,60,12,43
1255,6,89,26,93,74,38,55,80,42
1256,4,1,10,73,79,33,4,40,51
1257,6,88,38,12,2,54,47,51,53
1258,4,60,1,87,53,80,93,27,61
1259,2,66,87,32,24,68,45,19,25
1260,3,38,86,1,88,4,46,80,89
1261,4,1,68,27,59,95,26,98,99
1262,3,60,24,16,1,12,3,17,92
1263,4,91,32,82,92,96,24,63,45
1264,2,1,24,98,96,82,34,60,68
1265,3,5,83,13,1,39,54,29,61
1266,3,37,32,95,26,75,83,33,1
1267,4,23,22,43,62,9,39,82,6
1268,8,54,35,44,96,95,48,94,30
1269,6,1,66,28,88,35,10,38,89
1270,4,54,86,28,6,16,81,4,29
1271,5,95,3,21,68,14,18,37,42
1272,4,89,47,24,56,17,8,1,82
1273,8,27,81,55,58,87,49,73,1
1274,3,87,54,53,19,7,59,3,40
1275,5,5,71,30,12,69,82,45,68
1276,7,7,26,24,1,80,25,10,59
1277,5,49,58,67,1,84,45,97,22
1278,4,82,27,21,25,97,2,71,19
1279,7,57,9,53,96,33,10,13,68
1280,5,9,17,5,82,33,65,1,10
1281,2,76,78,13,60,45,90,39,11
1282,4,81,30,15,39,25,62,33,1
1283,4,29,12,46,47,45,22,96,31
1284,5,2,1,19,87,73,24,4,35
1285,5,38,70,73,13,40,60,27,33
1286,2,97,87,49,93,73,15,20,11
1287,4,1,11,39,91,15,99,25,18
1288,3,3,54,74,53,80,73,81,23
1289,4,39,89,80,46,18,1,61,4
1290,3,52,1,25,3,11,38,60,77
1291,4,34,39,73,1,53,38,89,75
1292,6,35,41,12,81,45,28,50,33
1293,3,12,77,62,1,6,17,66,24
1294,4,75,11,52,39,30,6,1,53
1295,5,95,26,22,93,94,92,47,40
1296,4,3,26,32,25,7,34,9,89
1297,5,96,3,10,61,82,31,46,73
1298,4,31,80,16,11,20,9,73,25
1299,4,11,32,39,59,99,9,8,28
1300,2,40,3,81,28,7,9,37,11
1301,4,9,54,53,74,12,23,1,16
1302,7,27,33,75,24,74,68,45,60
1303,3,80,37,46,47,74,3,53,45
1304,3,54,17,58,88,59,89,36,8
1305,6,5,12,40,65,49,38,80,26
1306,2,52,22,66,94,11,7,100,3
1307,6,60,82,73,29,53,96,26,13
1308,3,1,58,29,40,87,14,94,86
1309,2,57,75,88,5,1,96,11,12
1310,4,46,67,52,66,55,19,59,5
1311,4,45,60,6,33,40,67,39,26
1312,5,10,24,96,11,46,1,72,57
1313,2,88,95,56,75,26,38,41,10
1314,4,26,31,33,66,2,5,61,1
1315,4,31,2,52,29,38,54,5,18
1316,3,89,68,33,10,1,45,7,88
1317,4,26,87,27,60,10,31,57,17
1318,2,39,28,31,80,18,90,21,74
1319,4,43,87,79,9,82,11,45,8
1320,4,54,88,45,47,3,27,96,73
1321,4,1,19,16,15,13,45,39,52
1322,3,1,52,46,8,47,51,4,25
1323,5,96,45,54,1,40,31,26,72
1324,4,46,80,33,61,25,89,29,92
1325,5,23,1,40,25,17,34,74,93
1326,5,25,51,69,82,46,32,88,66
1327,4,14,81,12,46,1,16,6,21
1328,2,53,1,16,31,52,24,85,23
1329,4,5,88,3,1,67,15,39,34
1330,4,90,85,70,53,2,18,96,54
1331,8,11,25,92,3,68,88,4,8
1332,3,82,31,22,12,1,46,75,91
1333,4,53,11,54,1,38,10,12,47
1334,5,55,37,38,19,26,10,75,68
1335,4,89,19,71,38,31,39,12,1
1336,3,43,80,63,1,25,60,10,73
1337,6,78,87,46,18,41,3,1,26
1338,3,85,59,81,66,12,74,47,94
1339,4,77,66,87,10,22,24,12,11
1340,2,23,6,24,42,96,8,53,45
1341,4,67,13,1,5,51,18,81,94
1342,3,88,48,25,4,2,38,22,26
1343,3,34,8,24,11,1,17,21,83
1344,3,19,4,52,24,43,15,61,18
1345,5,32,67,24,87,96,11,20,28
1346,4,28,2,54,74,1,14,4,88
1347,3,5,20,29,89,77,1,18,61
1348,2,30,1,89,27,51,60,75,40
1349,3,54,4,50,24,95,36,47,45
1350,2,19,21,80,75,68,8,1,87
1351,4,81,9,50,17,24,75,26,65
1352,4,33,3,87,26,17,12,32,43
1353,8,11,1,29,61,4,23,56,76
1354,3,14,31,1,45,81,32,10,18
1355,3,54,81,59,61,38,57,39,16
1356,5,49,3,48,14,1,53,18,47
1357,3,82,96,22,6,59,47,50,25
1358,3,38,46,22,30,32,17,40,37
1359,8,31,16,75,68,96,8,64,5
1360,6,98,18,1,80,75,28,74,68
1361,3,3,2,20,17,33,4,73,98
1362,7,83,40,69,4,3,31,27,61
1363,4,33,99,40,89,75,76,8,60
1364,3,41,8,4,19,10,23,96,24
1365,2,68,91,82,5,73,53,4,39
1366,2,14,1,44,45,89,54,97,10
1367,2,2,33,59,13,50,25,89,1
1368,6,26,96,7,14,1,41,53,25
1369,3,1,87,93,35,21,40,30,58
1370,3,43,59,68,47,5,88,19,1
1371,4,85,4,96,52,44,1,49,30
1372,5,75,1,94,31,29,10,39,3
1373,2,3,49,13,34,31,45,55,7
